,userId,Reputation,Views,UpVotes,DownVotes,postId,Score,ViewCount,CommentCount
123,2,101,25,3,0,0,0.0,0,0
124,3,101,22,19,0,0,0.0,0,0
125,4,101,11,0,0,0,0.0,0,0
400,19,101,13,2,0,0,0.0,0,0
401,21,101,6,0,0,0,0.0,0,0
574,27,101,10,2,0,0,0.0,0,0
624,35,101,4,9,0,0,0.0,0,0
676,43,101,1,1,1,0,0.0,0,0
682,47,1,19,0,0,0,0.0,0,0
684,51,101,0,1,0,0,0.0,0,0
754,60,101,8,1,1,0,0.0,0,0
791,65,101,8,4,0,0,0.0,0,0
793,67,101,4,0,0,0,0.0,0,0
938,76,101,3,9,0,0,0.0,0,0
984,84,101,3,10,0,0,0.0,0,0
1325,91,101,8,0,0,0,0.0,0,0
1365,102,101,5,4,0,0,0.0,0,0
1372,105,101,0,0,0,0,0.0,0,0
1391,111,101,2,1,0,0,0.0,0,0
1392,112,101,0,0,0,0,0.0,0,0
1393,113,101,0,0,0,0,0.0,0,0
1413,116,101,2,9,0,0,0.0,0,0
1426,120,101,3,1,0,0,0.0,0,0
1427,121,101,4,3,0,0,0.0,0,0
1428,122,101,8,0,0,0,0.0,0,0
1429,123,101,56,21,0,0,0.0,0,0
1437,126,101,1,0,0,0,0.0,0,0
1449,129,101,8,9,0,0,0.0,0,0
1457,134,101,0,1,1,0,0.0,0,0
1458,135,101,1,2,0,0,0.0,0,0
1481,140,1,4,4,0,0,0.0,0,0
1482,141,101,0,0,0,0,0.0,0,0
1488,143,101,1,0,0,0,0.0,0,0
1531,147,101,1,0,0,0,0.0,0,0
1534,151,101,9,0,0,0,0.0,0,0
1535,152,101,1,0,0,0,0.0,0,0
1536,153,101,3,0,0,0,0.0,0,0
1541,155,101,1,2,0,0,0.0,0,0
1542,156,101,0,0,0,0,0.0,0,0
1749,160,101,2,0,0,0,0.0,0,0
1750,161,101,1,8,0,0,0.0,0,0
1754,164,101,3,2,0,0,0.0,0,0
1813,176,101,0,0,0,0,0.0,0,0
1814,177,101,0,0,0,0,0.0,0,0
1852,180,101,0,0,0,0,0.0,0,0
1853,181,101,6,60,0,0,0.0,0,0
2236,184,101,3,3,0,0,0.0,0,0
2237,186,101,1,1,0,0,0.0,0,0
2286,193,101,0,1,0,0,0.0,0,0
2288,195,101,7,0,0,0,0.0,0,0
2451,202,101,3,0,0,0,0.0,0,0
2452,203,101,1,1,0,0,0.0,0,0
2453,204,101,0,4,0,0,0.0,0,0
2454,206,101,0,2,0,0,0.0,0,0
2455,207,101,4,0,0,0,0.0,0,0
2472,212,101,1,11,1,0,0.0,0,0
2555,222,101,3,3,0,0,0.0,0,0
2650,225,101,6,0,0,0,0.0,0,0
2728,232,101,0,4,0,0,0.0,0,0
2729,233,101,3,4,0,0,0.0,0,0
2730,235,101,5,0,0,0,0.0,0,0
2741,241,101,0,0,0,0,0.0,0,0
2742,246,101,9,0,1,0,0.0,0,0
2765,248,101,0,1,0,0,0.0,0,0
3070,254,101,0,3,0,0,0.0,0,0
